year,loc_x,loc_y,estm_count
5,-78.2322,38.6562,13
6,-78.2322,38.6562,23
7,-78.2322,38.6562,7
0,-80.9176,36.666,7
1,-80.9176,36.666,3
2,-80.9176,36.666,0
3,-80.9176,36.666,0
4,-80.9176,36.666,0
5,-80.9176,36.666,0
6,-80.9176,36.666,2
7,-80.9176,36.666,1
0,-79.8636,36.6827,15
1,-79.8636,36.6827,11
2,-79.8636,36.6827,1
3,-79.8636,36.6827,9
4,-79.8636,36.6827,1
5,-79.8636,36.6827,14
6,-79.8636,36.6827,9
7,-79.8636,36.6827,1
0,-76.8041,37.3799,63
1,-76.8041,37.3799,23
2,-76.8041,37.3799,25
3,-76.8041,37.3799,10
4,-76.8041,37.3799,10
5,-76.8041,37.3799,15
6,-76.8041,37.3799,28
7,-76.8041,37.3799,147
0,-79.4088,36.5831,75
1,-79.4088,36.5831,3
2,-79.4088,36.5831,0
3,-79.4088,36.5831,32
4,-79.4088,36.5831,0
5,-79.4088,36.5831,0
6,-79.4088,36.5831,5
7,-79.4088,36.5831,21
0,-79.1058,37.4487,66
1,-79.1058,37.4487,34
2,-79.1058,37.4487,53
3,-79.1058,37.4487,71
4,-79.1058,37.4487,38
5,-79.1058,37.4487,29
6,-79.1058,37.4487,30
7,-79.1058,37.4487,46
0,-78.8735,38.4362,10
1,-78.8735,38.4362,16
2,-78.8735,38.4362,6
3,-78.8735,38.4362,6
4,-78.8735,38.4362,0
5,-78.8735,38.4362,10
6,-78.8735,38.4362,0
7,-78.8735,38.4362,4
0,-77.4871,38.2992,23
1,-77.4871,38.2992,-5
2,-77.4871,38.2992,17
3,-77.4871,38.2992,91
4,-77.4871,38.2992,7
5,-77.4871,38.2992,39
6,-77.4871,38.2992,2
7,-77.4871,38.2992,7
0,-79.8886,37.2747,799
1,-79.8886,37.2747,92
2,-79.8886,37.2747,36
3,-79.8886,37.2747,206
4,-79.8886,37.2747,71
5,-79.8886,37.2747,178
6,-79.8886,37.2747,446
7,-79.8886,37.2747,156
0,-78.682,37.2642,4
1,-78.682,37.2642,5
2,-78.682,37.2642,5
3,-78.682,37.2642,0
4,-78.682,37.2642,11
5,-78.682,37.2642,11
6,-78.682,37.2642,25
7,-78.682,37.2642,27
0,-76.354,36.8468,386
1,-76.354,36.8468,39
2,-76.354,36.8468,18
3,-76.354,36.8468,177
4,-76.354,36.8468,37
5,-76.354,36.8468,4
6,-76.354,36.8468,34
7,-76.354,36.8468,22
0,-76.5185,37.1052,350
1,-76.5185,37.1052,31
2,-76.5185,37.1052,14
3,-76.5185,37.1052,176
4,-76.5185,37.1052,19
5,-76.5185,37.1052,16
6,-76.5185,37.1052,18
7,-76.5185,37.1052,24
0,-77.5885,38.1982,447
1,-77.5885,38.1982,154
2,-77.5885,38.1982,81
3,-77.5885,38.1982,159
4,-77.5885,38.1982,164
5,-77.5885,38.1982,167
6,-77.5885,38.1982,385
7,-77.5885,38.1982,449
0,-80.0554,37.2864,99
1,-80.0554,37.2864,4
2,-80.0554,37.2864,1
3,-80.0554,37.2864,17
4,-80.0554,37.2864,0
5,-80.0554,37.2864,16
6,-80.0554,37.2864,0
7,-80.0554,37.2864,5
0,-79.0608,38.1593,39
1,-79.0608,38.1593,6
2,-79.0608,38.1593,6
3,-79.0608,38.1593,18
4,-79.0608,38.1593,1
5,-79.0608,38.1593,1
6,-79.0608,38.1593,1
7,-79.0608,38.1593,0
0,-82.1607,36.618,74
1,-82.1607,36.618,4
2,-82.1607,36.618,16
3,-82.1607,36.618,86
4,-82.1607,36.618,90
5,-82.1607,36.618,38
6,-82.1607,36.618,8
7,-82.1607,36.618,31
0,-76.7075,37.2691,3
1,-76.7075,37.2691,0
2,-76.7075,37.2691,0
3,-76.7075,37.2691,7
4,-76.7075,37.2691,3
5,-76.7075,37.2691,2
6,-76.7075,37.2691,1
7,-76.7075,37.2691,0
0,-80.2045,37.0379,15
1,-80.2045,37.0379,20
2,-80.2045,37.0379,23
3,-80.2045,37.0379,23
4,-80.2045,37.0379,10
5,-80.2045,37.0379,3
6,-80.2045,37.0379,9
7,-80.2045,37.0379,9
0,-77.0861,38.8184,36
1,-77.0861,38.8184,25
2,-77.0861,38.8184,18
3,-77.0861,38.8184,9
4,-77.0861,38.8184,4
5,-77.0861,38.8184,5
6,-77.0861,38.8184,18
7,-77.0861,38.8184,28
0,-82.626,36.9317,0
1,-82.626,36.9317,0
2,-82.626,36.9317,0
3,-82.626,36.9317,0
4,-82.626,36.9317,0
5,-82.626,36.9317,0
6,-82.626,36.9317,0
7,-82.626,36.9317,0
0,-79.1911,37.4004,81
1,-79.1911,37.4004,5
2,-79.1911,37.4004,-12
3,-79.1911,37.4004,47
4,-79.1911,37.4004,2
5,-79.1911,37.4004,4
6,-79.1911,37.4004,53
7,-79.1911,37.4004,-6
0,-76.433,37.1982,34
1,-76.433,37.1982,66
2,-76.433,37.1982,43
3,-76.433,37.1982,33
4,-76.433,37.1982,13
5,-76.433,37.1982,25
